NAME,YYMMDD,HOUR,Wind_Speed,ID,DELV24,PER,SHRD,POT,PC2
GEOR,980930,12,25,AL071998,9999,9999,20.2,-76,191
GEOR,980930,18,25,AL071998,9999,9999,19.6,-97,178
GEOR,981001,0,25,AL071998,9999,9999,19.6,-99,164
GEOR,981001,6,20,AL071998,9999,9999,22.6,-98,9999
HERM,980917,12,30,AL081998,0,9999,10.4,-117,9999
HERM,980917,18,30,AL081998,0,9999,4.7,-106,9999
HERM,980918,0,30,AL081998,0,0,11.2,-105,130
HERM,980918,6,30,AL081998,0,0,14.2,-113,75
HERM,980918,12,30,AL081998,5,0,12.5,-116,9999
HERM,980918,18,30,AL081998,10,0,13.4,-108,9999
HERM,980919,0,30,AL081998,10,0,17.1,-86,156
HERM,980919,6,30,AL081998,5,0,21,-93,204
HERM,980919,12,35,AL081998,-5,5,23.5,-88,128
HERM,980919,18,40,AL081998,-20,10,19.3,-64,113
HERM,980920,0,40,AL081998,9999,5,27.1,-63,181
HERM,980920,6,35,AL081998,9999,-5,28.4,-77,218
HERM,980920,12,30,AL081998,9999,9999,22.4,-79,177
HERM,980920,18,20,AL081998,9999,9999,15.4,-72,9999
IVAN,980919,0,25,AL091998,5,9999,6.1,-113,9999
IVAN,980919,6,25,AL091998,5,9999,3.6,-116,9999
IVAN,980919,12,25,AL091998,5,0,7.7,-115,9999
IVAN,980919,18,25,AL091998,10,0,5.5,-113,9999
IVAN,980920,0,30,AL091998,5,5,4.9,-107,9999
IVAN,980920,6,30,AL091998,5,5,7.5,-108,-44
IVAN,980920,12,30,AL091998,5,0,10.5,-95,-37
IVAN,980920,18,35,AL091998,5,5,20.9,-89,-18
IVAN,980921,0,35,AL091998,5,5,29.1,-86,19
IVAN,980921,6,35,AL091998,10,0,29.6,-83,-21
IVAN,980921,12,35,AL091998,10,0,19.5,-79,25
IVAN,980921,18,40,AL091998,15,5,26,-69,62
IVAN,980922,0,40,AL091998,10,5,23.9,-68,52
IVAN,980922,6,45,AL091998,0,5,30.5,-68,131
IVAN,980922,12,45,AL091998,10,5,26.1,-68,80
IVAN,980922,18,55,AL091998,10,10,22.9,-58,32
IVAN,980923,0,50,AL091998,15,5,27.2,-67,84
IVAN,980923,6,45,AL091998,25,-10,13.8,-79,92
IVAN,980923,12,55,AL091998,15,5,6.1,-73,43
IVAN,980923,18,65,AL091998,5,20,5.2,-61,24
IVAN,980924,0,65,AL091998,5,10,23.2,-60,52
IVAN,980924,6,70,AL091998,0,5,30,-55,20
IVAN,980924,12,70,AL091998,0,5,25.5,-52,23
IVAN,980924,18,70,AL091998,5,0,26.1,-43,42
IVAN,980925,0,70,AL091998,5,0,22.6,-35,87
IVAN,980925,6,70,AL091998,10,0,20.7,-32,84
IVAN,980925,12,70,AL091998,5,0,12,-26,85
IVAN,980925,18,75,AL091998,0,5,10,-11,79
IVAN,980926,0,75,AL091998,-15,5,7.8,-1,69
IVAN,980926,6,80,AL091998,9999,5,8.3,13,32
IVAN,980926,12,75,AL091998,9999,0,15.6,22,3
IVAN,980926,18,75,AL091998,9999,-5,21.8,32,24
IVAN,980927,0,60,AL091998,9999,-15,31.2,17,98
JEAN,980921,6,30,AL101998,15,9999,3.4,-101,9999
JEAN,980921,12,30,AL101998,25,9999,7.3,-104,9999
JEAN,980921,18,35,AL101998,30,5,7.7,-102,9999
JEAN,980922,0,40,AL101998,30,10,10.6,-103,9999
JEAN,980922,6,45,AL101998,30,10,10.6,-102,-100
JEAN,980922,12,55,AL101998,25,15,17.4,-86,-122
JEAN,980922,18,65,AL101998,20,20,19.4,-73,-112
JEAN,980923,0,70,AL101998,15,15,16.6,-65,9999
JEAN,980923,6,75,AL101998,15,10,14.4,-55,-90
JEAN,980923,12,80,AL101998,10,10,17.4,-44,-138
JEAN,980923,18,85,AL101998,5,10,9.8,-36,-146
JEAN,980924,0,85,AL101998,5,5,5.8,-37,-111
JEAN,980924,6,90,AL101998,0,5,6.1,-32,-113
JEAN,980924,12,90,AL101998,-5,5,16.8,-28,-136
JEAN,980924,18,90,AL101998,-10,0,17.7,-21,-142
JEAN,980925,0,90,AL101998,-15,0,21.5,-21,-97
JEAN,980925,6,90,AL101998,-20,0,27,-25,-99
JEAN,980925,12,85,AL101998,-15,-5,21.7,-28,-74
JEAN,980925,18,80,AL101998,-5,-10,15.3,-36,37
JEAN,980926,0,75,AL101998,0,-10,14.8,-52,40
JEAN,980926,6,70,AL101998,0,-10,24.9,-56,51
JEAN,980926,12,70,AL101998,0,-5,12.8,-56,71
JEAN,980926,18,75,AL101998,-5,5,7.8,-49,51
JEAN,980927,0,75,AL101998,-5,5,6,-50,-11
JEAN,980927,6,70,AL101998,0,-5,8.7,-60,-21
JEAN,980927,12,70,AL101998,5,-5,2.5,-63,62
JEAN,980927,18,70,AL101998,10,0,1.7,-62,24
JEAN,980928,0,70,AL101998,10,0,8.3,-56,17
JEAN,980928,6,70,AL101998,5,0,12.2,-51,-32
JEAN,980928,12,75,AL101998,-10,5,15.6,-30,-60
JEAN,980928,18,80,AL101998,-20,10,19,-11,-87
JEAN,980929,0,80,AL101998,-30,5,19.8,-4,-81
JEAN,980929,6,75,AL101998,-30,-5,21.3,-6,-9
JEAN,980929,12,65,AL101998,-25,-15,19.6,-15,73
JEAN,980929,18,60,AL101998,-25,-15,13.6,-15,108
JEAN,980930,0,50,AL101998,9999,-15,16.2,-21,145
JEAN,980930,6,45,AL101998,9999,-15,23.6,-26,172
JEAN,980930,12,40,AL101998,9999,-10,15.2,-30,168
JEAN,980930,18,35,AL101998,9999,-10,13.9,-27,144
KARL,980923,12,25,AL111998,15,9999,10.2,-75,119
KARL,980923,18,30,AL111998,15,9999,6.2,-76,61
KARL,980924,0,35,AL111998,15,10,6.5,-70,36
KARL,980924,6,35,AL111998,20,5,13.4,-74,62
KARL,980924,12,40,AL111998,25,5,15.2,-73,111
KARL,980924,18,45,AL111998,25,10,12.1,-71,59
KARL,980925,0,50,AL111998,25,10,12.6,-70,34
KARL,980925,6,55,AL111998,20,10,11.9,-72,10
KARL,980925,12,65,AL111998,10,15,11.9,-65,16
KARL,980925,18,70,AL111998,10,15,9.4,-62,-54
KARL,980926,0,75,AL111998,15,10,13.1,-63,-27
KARL,980926,6,75,AL111998,15,5,12.6,-58,-18
KARL,980926,12,75,AL111998,5,0,10,-57,-3
KARL,980926,18,80,AL111998,-10,5,17.3,-46,-39
KARL,980927,0,90,AL111998,-35,15,19.4,-18,-34
KARL,980927,6,90,AL111998,9999,10,21.9,-11,-17
KARL,980927,12,80,AL111998,9999,-10,29.8,-7,44
KARL,980927,18,70,AL111998,9999,-20,29.9,4,127
KARL,980928,0,55,AL111998,9999,-25,32.9,1,194
LISA,981005,0,30,AL121998,10,9999,10.4,-117,9999
LISA,981005,6,35,AL121998,10,9999,8.9,-116,9999
LISA,981005,12,35,AL121998,10,5,16.7,-116,9999
LISA,981005,18,40,AL121998,5,5,19.5,-109,33
LISA,981006,0,40,AL121998,10,5,23.4,-106,46
LISA,981006,6,45,AL121998,5,5,26.1,-105,96
LISA,981006,12,45,AL121998,5,5,27.1,-107,64
LISA,981006,18,45,AL121998,5,0,24,-103,-10
LISA,981007,0,50,AL121998,5,5,25.6,-99,-4
LISA,981007,6,50,AL121998,5,5,25.6,-100,64
LISA,981007,12,50,AL121998,5,0,23.8,-98,37
LISA,981007,18,50,AL121998,10,0,19.7,-93,27
LISA,981008,0,55,AL121998,5,5,21.9,-80,-66
LISA,981008,6,55,AL121998,5,5,12.2,-76,62
LISA,981008,12,55,AL121998,10,0,15.9,-70,29
LISA,981008,18,60,AL121998,5,5,17.9,-53,-19
LISA,981009,0,60,AL121998,9999,5,23.5,-47,-53
LISA,981009,6,60,AL121998,9999,0,26.7,-31,-74
LISA,981009,12,65,AL121998,9999,5,34,9,-48
LISA,981009,18,65,AL121998,9999,5,46.3,51,-34
MITC,981022,0,30,AL131998,10,9999,6.9,-122,12
MITC,981022,6,30,AL131998,15,9999,5.6,-124,-88
MITC,981022,12,30,AL131998,15,0,3.6,-124,-139
MITC,981022,18,35,AL131998,15,5,3.6,-111,-108
MITC,981023,0,40,AL131998,15,10,6.4,-109,-40
MITC,981023,6,45,AL131998,20,10,14.2,-106,-44
MITC,981023,12,45,AL131998,30,5,15.3,-108,1
MITC,981023,18,50,AL131998,40,5,10,-96,-45
MITC,981024,0,55,AL131998,45,10,4.8,-88,-75
MITC,981024,6,65,AL131998,40,15,2.7,-83,-95
MITC,981024,12,75,AL131998,40,20,2.9,-75,-162
MITC,981024,18,90,AL131998,35,25,4,-58,-178
MITC,981025,0,100,AL131998,30,25,5.3,-47,-134
MITC,981025,6,105,AL131998,30,15,10.3,-43,-113
MITC,981025,12,115,AL131998,30,15,10.7,-32,-141
MITC,981025,18,125,AL131998,30,20,15.9,-18,-154
MITC,981026,0,130,AL131998,25,15,9.8,-13,-153
MITC,981026,6,135,AL131998,15,10,3,-13,-180
MITC,981026,12,145,AL131998,5,15,12.7,-4,-179
MITC,981026,18,155,AL131998,-10,20,9.4,10,-167
MITC,981027,0,155,AL131998,-15,10,10.3,6,-145
MITC,981027,6,150,AL131998,-20,-5,7.3,-5,-155
MITC,981027,12,150,AL131998,-35,-5,12.3,-7,-203
MITC,981027,18,145,AL131998,-50,-5,13.5,-3,-200
MITC,981028,0,140,AL131998,-55,-10,14.7,-10,-196
MITC,981028,6,130,AL131998,-55,-15,18.6,-22,-152
MITC,981028,12,115,AL131998,-45,-25,20.3,-39,-108
MITC,981028,18,95,AL131998,-35,-35,17.3,-53,-84
MITC,981029,0,85,AL131998,-30,-30,5.6,-65,-79
MITC,981029,6,75,AL131998,-25,-20,11.2,-77,-64
MITC,981029,12,70,AL131998,-25,-15,11.2,-83,-47
MITC,981029,18,60,AL131998,-15,-15,13.8,-86,-32
MITC,981030,0,55,AL131998,-10,9999,13.3,-91,-69
MITC,981030,6,50,AL131998,-10,9999,7.3,-100,-29
MITC,981030,12,45,AL131998,-10,9999,6,-104,-65
MITC,981030,18,45,AL131998,-15,9999,8,-99,-43
MITC,981031,0,45,AL131998,-15,9999,4.4,-97,-41
MITC,981031,6,40,AL131998,-15,9999,5.4,-107,-65
MITC,981031,12,35,AL131998,-10,9999,6.6,-118,-18
MITC,981031,18,30,AL131998,-5,9999,4.6,-117,-9
MITC,981101,0,30,AL131998,9999,9999,3.1,-116,-37
MITC,981101,6,25,AL131998,9999,9999,2.9,-124,15
MITC,981101,12,25,AL131998,9999,9999,2.5,-126,64
MITC,981101,18,25,AL131998,9999,9999,2.9,-113,79
MITC,981103,18,40,AL131998,0,9999,21.4,-85,-16
MITC,981104,0,35,AL131998,10,9999,20.3,-94,-23
MITC,981104,6,30,AL131998,20,9999,20.7,-107,22
MITC,981104,12,40,AL131998,15,9999,15.8,-103,20
MITC,981104,18,40,AL131998,9999,9999,27.7,-90,11
MITC,981105,0,45,AL131998,9999,5,28.6,-71,2
MITC,981105,6,50,AL131998,9999,10,31.7,-55,-71
MITC,981105,12,55,AL131998,9999,9999,35.9,-45,25
NICO,981124,0,30,AL141998,30,9999,22,-93,113
NICO,981124,6,35,AL141998,25,9999,30.4,-90,60
NICO,981124,12,45,AL141998,10,15,36.1,-79,89
NICO,981124,18,60,AL141998,-10,25,45.6,-62,99
NICO,981125,0,60,AL141998,-20,15,50.6,-61,121
NICO,981125,6,60,AL141998,-25,0,56,-60,135
NICO,981125,12,55,AL141998,-25,-5,62.6,-56,146
NICO,981125,18,50,AL141998,-25,-10,67.7,-60,168
NICO,981126,0,40,AL141998,-15,-15,70.2,-73,142
NICO,981126,6,35,AL141998,-10,-15,70.4,-79,153
NICO,981126,12,30,AL141998,0,-10,69.7,-83,84
NICO,981126,18,25,AL141998,15,-10,65.7,-93,-21
NICO,981127,0,25,AL141998,25,-5,47.2,-100,-39
NICO,981127,6,25,AL141998,25,0,38.2,-106,10
NICO,981127,12,30,AL141998,20,5,35.3,-102,65
NICO,981127,18,40,AL141998,10,15,27.1,-91,64
NICO,981128,0,50,AL141998,-5,20,27.8,-79,84
NICO,981128,6,50,AL141998,-5,10,29.6,-79,65
NICO,981128,12,50,AL141998,5,0,33,-80,92
NICO,981128,18,50,AL141998,10,0,28.6,-75,57
NICO,981129,0,45,AL141998,20,-5,34.6,-77,98
NICO,981129,6,45,AL141998,20,-5,34.7,-75,28
NICO,981129,12,55,AL141998,10,10,29.9,-60,7
NICO,981129,18,60,AL141998,10,15,25.8,-51,-30
NICO,981130,0,65,AL141998,10,10,35.9,-40,-3
NICO,981130,6,65,AL141998,5,5,34.3,-37,-7
NICO,981130,12,65,AL141998,-5,0,20.3,-37,-21
NICO,981130,18,70,AL141998,9999,5,19.2,-33,-32
NICO,981201,0,75,AL141998,9999,10,21.4,-25,-49
NICO,981201,6,70,AL141998,9999,0,20.3,-24,-72
NICO,981201,12,60,AL141998,9999,-15,27.4,-16,36
