,NAME,ID,MONTH,YEAR,Wind_Speed,DELV24,PER,SHRD,POT,PC2
251,IVAN,AL091998,9,1998,45,0,5,30.5,-68,131
252,IVAN,AL091998,9,1998,45,10,5,26.1,-68,80
253,IVAN,AL091998,9,1998,55,10,10,22.9,-58,32
254,IVAN,AL091998,9,1998,50,15,5,27.2,-67,84
255,IVAN,AL091998,9,1998,45,25,-10,13.8,-79,92
256,IVAN,AL091998,9,1998,55,15,5,6.1,-73,43
257,IVAN,AL091998,9,1998,65,5,20,5.2,-61,24
258,IVAN,AL091998,9,1998,65,5,10,23.2,-60,52
259,IVAN,AL091998,9,1998,70,0,5,30,-55,20
260,IVAN,AL091998,9,1998,70,0,5,25.5,-52,23
261,IVAN,AL091998,9,1998,70,5,0,26.1,-43,42
262,IVAN,AL091998,9,1998,70,5,0,22.6,-35,87
263,IVAN,AL091998,9,1998,70,10,0,20.7,-32,84
264,IVAN,AL091998,9,1998,70,5,0,12,-26,85
265,IVAN,AL091998,9,1998,75,0,5,10,-11,79
266,IVAN,AL091998,9,1998,75,-15,5,7.8,-1,69
267,IVAN,AL091998,9,1998,80,9999,5,8.3,13,32
268,IVAN,AL091998,9,1998,75,9999,0,15.6,22,3
269,IVAN,AL091998,9,1998,75,9999,-5,21.8,32,24
270,IVAN,AL091998,9,1998,60,9999,-15,31.2,17,98
271,JEAN,AL101998,9,1998,30,15,9999,3.4,-101,9999
272,JEAN,AL101998,9,1998,30,25,9999,7.3,-104,9999
273,JEAN,AL101998,9,1998,35,30,5,7.7,-102,9999
274,JEAN,AL101998,9,1998,40,30,10,10.6,-103,9999
275,JEAN,AL101998,9,1998,45,30,10,10.6,-102,-100
276,JEAN,AL101998,9,1998,55,25,15,17.4,-86,-122
277,JEAN,AL101998,9,1998,65,20,20,19.4,-73,-112
278,JEAN,AL101998,9,1998,70,15,15,16.6,-65,9999
279,JEAN,AL101998,9,1998,75,15,10,14.4,-55,-90
280,JEAN,AL101998,9,1998,80,10,10,17.4,-44,-138
281,JEAN,AL101998,9,1998,85,5,10,9.8,-36,-146
282,JEAN,AL101998,9,1998,85,5,5,5.8,-37,-111
283,JEAN,AL101998,9,1998,90,0,5,6.1,-32,-113
284,JEAN,AL101998,9,1998,90,-5,5,16.8,-28,-136
285,JEAN,AL101998,9,1998,90,-10,0,17.7,-21,-142
286,JEAN,AL101998,9,1998,90,-15,0,21.5,-21,-97
287,JEAN,AL101998,9,1998,90,-20,0,27,-25,-99
288,JEAN,AL101998,9,1998,85,-15,-5,21.7,-28,-74
289,JEAN,AL101998,9,1998,80,-5,-10,15.3,-36,37
290,JEAN,AL101998,9,1998,75,0,-10,14.8,-52,40
291,JEAN,AL101998,9,1998,70,0,-10,24.9,-56,51
292,JEAN,AL101998,9,1998,70,0,-5,12.8,-56,71
293,JEAN,AL101998,9,1998,75,-5,5,7.8,-49,51
294,JEAN,AL101998,9,1998,75,-5,5,6,-50,-11
295,JEAN,AL101998,9,1998,70,0,-5,8.7,-60,-21
296,JEAN,AL101998,9,1998,70,5,-5,2.5,-63,62
297,JEAN,AL101998,9,1998,70,10,0,1.7,-62,24
298,JEAN,AL101998,9,1998,70,10,0,8.3,-56,17
299,JEAN,AL101998,9,1998,70,5,0,12.2,-51,-32
300,JEAN,AL101998,9,1998,75,-10,5,15.6,-30,-60
301,JEAN,AL101998,9,1998,80,-20,10,19,-11,-87
302,JEAN,AL101998,9,1998,80,-30,5,19.8,-4,-81
303,JEAN,AL101998,9,1998,75,-30,-5,21.3,-6,-9
304,JEAN,AL101998,9,1998,65,-25,-15,19.6,-15,73
